Density,Energy,s,dsdrho_e,dsde_rho,d2sdrho2,d2sdedrho,d2sde2,T,p,c2,dTdrho_e,dTde_rho,dpdrho_e,dpde_rho,dhdrho_e,dhde_rho,dhdrho_p,dhdp_rho,dsdp_rho,dsdrho_p,cp
476.121068502817,573092.1193620531,1170.3904603034755,-0.1144444490821451,0.0015866729843877056,-0.0004911619620189123,-2.695469829547454e-07,-1.1070794445414878e-09,630.2495913396408,16350916.65165245,145235.52974155947,0.10706798283303386,0.0004397480604814385,141634.91727091948,49.919367695268164,225.34811805842628,1.1048459541020557,-2909.4024312997517,0.02213261115097785,3.178471718779615e-05,-4.616270238455225,2550.725314607138
476.12106850281646,590137.344795146,1197.2764011225402,-0.11897373142743045,0.001568077367559706,-0.0004956921884976678,-2.619400570298465e-07,-1.0750830971215373e-09,637.7236357643714,17199601.916737936,150550.2108156113,0.10652877783789587,0.00043722708817112144,146782.3988779496,49.659874947036606,232.41561194348034,1.1043009398916004,-3031.626861247165,0.022237287972822376,3.1576345474733806e-05,-4.753825468007747,2556.5934952473585
476.1210685028167,607182.5702282365,1223.8499527203944,-0.12337559682164294,0.0015500147287340394,-0.0004999007942651099,-2.5459586691035216e-07,-1.044528079453046e-09,645.1551597943466,18043809.80582076,155801.43706676696,0.1059692105852963,0.00043475888810398547,151869.8266988979,49.39432217418384,239.37672547875223,1.1037431977742687,-3154.237778936407,0.022345548014244133,3.138042310345057e-05,-4.889115015280773,2562.8406330515595
476.1210685028166,624227.7956613285,1250.1199945707665,-0.12765448581748226,0.0015324612221169734,-0.0005038199981465878,-2.4750974495999453e-07,-1.015330623614355e-09,652.5450599125629,18883451.882840533,160992.24046884108,0.10539337571671004,0.00043234306555713726,156900.16258620814,49.1244050912831,246.23806957783546,1.1031762892697792,-3277.235422386995,0.02245678674825383,3.1195517162382934e-05,-5.022236200556211,2569.4087322071846
476.1210685028172,641273.0210944192,1276.0950115882742,-0.1318147488312734,0.0015153943822859054,-0.0005074781568501427,-2.406758431242662e-07,-9.87412474396447e-10,659.8942240313339,19718466.30380791,166125.4283953318,0.10480479576676327,0.0004299790181403546,161876.1348926587,48.8515553815406,253.0056474283173,1.10260322135115,-3400.616973151794,0.022570483431685936,3.1020391683547566e-05,-5.153275857420328,2576.2485050992714
476.1210685028167,658318.2465275105,1301.7831168729956,-0.13586062889387399,0.0014987930331489885,-0.0005109002769400992,-2.340874574821357e-07,-9.60700546910971e-10,667.2035283610732,20548813.665493198,171203.6032775183,0.10420650091294366,0.00042766598217413475,166800.26073530127,48.57698053200343,259.6849195654873,1.1020265301108305,-3524.3772132919244,0.0226861883559188,3.0853976857650824e-05,-5.282312013470983,2583.3178344049893
476.12106850281685,675363.4719606003,1327.192072952642,-0.13979624934431636,0.0014826372026834926,-0.0005141084525794317,-2.2773728606514316e-07,-9.351265917835316e-10,674.473834994869,21374473.478391763,176229.18031642854,0.10360109703551743,0.00042540307057205496,171674.86579782923,48.30169743228057,266.2808610221308,1.1014483513283027,-3648.5090521612315,0.022803512296282,3.0695343673214876e-05,-5.409415255061728,2590.5805532028367
476.1210685028161,692408.6974770381,1352.329311754138,-0.14362560520800588,0.0014669080432853315,-0.0005171222393460484,-2.2161763291534868e-07,-9.106268721383506e-10,681.705990077176,22195441.11013604,181204.40307986937,0.10299082383293702,0.0004231893037218878,176502.10160937335,48.026560716895226,272.7980110146562,1.1008704799976965,-3773.0039456296863,0.02292211775244656,3.054368294103744e-05,-5.534649835191479,2598.0054678804563
476.1210685028167,709453.9228340446,1377.201952467836,-0.14735255906870662,0.0014515877575038214,-0.0005199589842445658,-2.1572056951953915e-07,-8.871418550852357e-10,688.9008224481169,23011725.507866237,186131.35996782227,0.10237760479362226,0.0004210236345939682,181283.9632828965,47.75228695093061,279.24052067892495,1.100294421125051,-3897.852267454489,0.02304171153636461,3.039828770914044e-05,-5.658074631995446,2605.56556733676
476.1210685028163,726499.1482598879,1401.8168201388169,-0.15098083596310063,0.0014366595288987432,-0.0005226340895104013,-2.100380602977364e-07,-8.646159194152538e-10,696.0591426742145,23823346.48143394,191011.99351312066,0.10176308947177252,0.00041890496913488,186022.29997314358,47.47947462845282,285.6121861789658,1.0997214317311228,-4023.043536346415,0.02316203876173679,3.0258538876877173e-05,-5.779743831666573,2613.237380900181
476.1210685028165,743544.373693682,1426.1804606058836,-0.1545140245898697,0.0014221074577363269,-0.0005251612665590148,-2.0456206189691155e-07,-8.429970802197766e-10,703.1817423922196,24630333.358810544,195848.11600191207,0.10114869050822853,0.00041683218274100626,190718.83121684977,47.2086217743163,291.91648975728225,1.0991525578205685,-4148.566694833329,0.02328287750223115,3.012389271889356e-05,-5.899707635639021,2621.000448212665
476.1210685028172,760589.5991459427,1450.2991561938704,-0.15795557682845765,0.0014079165012318123,-0.0005275527376082653,-1.9928459893725347e-07,-8.22236730779887e-10,710.2693939058755,25432723.15587719,200641.41861562207,0.10053561498717965,0.0004148041335599222,195375.15676085107,46.94014047501473,298.15662806950957,1.0985886649011773,-4274.41027200205,0.023404034452899295,2.999387064001688e-05,-6.018012754986444,2628.8368830939894
476.12106850281685,777634.824670613,1474.1789397965028,-0.16130880949260926,0.0013940724180460824,-0.0005298194167565565,-1.9419782223796816e-07,-8.022894014850252e-10,717.3228499862221,26230559.23606736,205393.48147076077,0.0999248916380557,0.0004128196731656123,199992.76708544898,46.67436940356825,304.3355402167443,1.098030464289971,-4400.562537756717,0.023525341173779774,2.9868050406686498e-05,-6.134702857773512,2636.7310100440463
485.74539913445557,334458.96329877846,754.6740510315908,-0.03911991945273521,0.001916659708047704,-0.00041712355435565376,-4.0695810872035515e-07,-1.7632501305178211e-09,521.741024659298,4815820.933572593,73313.6649281347,0.11077957122260508,0.00047998083643343946,72200.71160315837,54.52855795107463,128.22853565423975,1.112257487252043,-1344.5003440933629,0.02039770588193453,3.514964965270883e-05,-2.576949636980022,2562.1331033159067
485.7453991344557,351504.1887318692,787.0909793708629,-0.04597044411365175,0.001887161697975479,-0.00043355200069922586,-3.967954905843659e-07,-1.6984706772307403e-09,529.8962993329009,5747605.840950092,80414.35863561086,0.11141624073771891,0.0004769137310043633,79079.8542330816,54.78358199034611,138.44146783028052,1.1127825031136978,-1467.855071064564,0.020312335606492305,3.4447577712388945e-05,-2.77007986829212,2543.9138974797816
485.7453991344564,368549.41416496056,819.014353190807,-0.052645541306431794,0.0018587389888135987,-0.0004481948959269659,-3.8640013096490495e-07,-1.6370506750052897e-09,537.999152123173,6682832.534404333,87354.90561598119,0.11184084698846822,0.0004738330020707586,85798.95416228604,54.93547145522537,148.31033441703607,1.1130951966876355,-1590.13663307102,0.020261866644666063,3.383495107216011e-05,-2.9556489574298888,2531.267136078987
485.7453991344557,385594.6395980521,850.4620216918341,-0.05914246299020835,0.0018313358114756808,-0.00046128702506672745,-3.7590946037647113e-07,-1.5788147478679684e-09,546.0494977129318,7619891.900030947,94146.40344504989,0.11208494408172452,0.0004707552785528661,92370.15483807275,55.00122111214078,157.86695479292328,1.1132305549576935,-1711.7147863516857,0.02024010617306027,3.329627550889844e-05,-3.1347245872782863,2522.752005986874
485.74539913445574,402639.8650311416,881.4509089510741,-0.06546053553862746,0.0018048993831934923,-0.0004730299720928033,-3.654305133923397e-07,-1.5235884158134446e-09,554.0475049809445,8557441.69830415,100799.09860410006,0.11217570689768817,0.00046769386053295217,98804.51849971502,54.99521766072654,167.13979139239726,1.1132181957023617,-1832.8702547545918,0.020242090913613,3.2819206104941306e-05,-3.308146392280261,2517.3883765867913
485.74539913445483,419685.09046423406,911.9970645492924,-0.07160069276389462,0.0017793798673599326,-0.0004835967255668008,-3.5504574210547525e-07,-1.471200852941644e-09,561.9935452477051,9494365.430131916,107322.39780879249,0.11213649147722816,0.00046465928848731674,105112.07780377477,54.92962100688967,176.15423032091238,1.1130831524184648,-1953.8164626209843,0.02026380542984001,3.239381293267525e-05,-3.4765816781041816,2514.4834252985825
485.74539913445483,436730.3158973256,942.1157131566805,-0.07756509902960884,0.001754730293951801,-0.0004931357631932812,-3.44817801940603e-07,-1.4214867927462615e-09,569.8881494476939,10429737.280983439,113724.90490547924,0.11198734057414597,0.0004616598234923709,111301.9072540058,54.81469674384704,184.93287698126318,1.1128465587971,-2074.715571937281,0.020301974194941015,3.201204053270202e-05,-3.6405662654118833,2513.531597767754
485.7453991344548,453775.5413304164,971.8213025191353,-0.08335684634931372,0.001730906453263384,-0.0005017746235563675,-3.347934724008781e-07,-1.374287784517178e-09,577.7319728138045,11362792.343654638,120014.47238683955,0.11174543426692705,0.00045870185038948913,117382.20389894448,54.659103744474756,193.49584840725433,1.1125262407876046,-2195.690455297143,0.02035390565473853,3.166730397474462e-05,-3.8005347784426418,2514.1540334102665
485.7453991344548,470820.7667635073,1001.1275494760382,-0.08897971196985152,0.0017078667725872426,-0.0005096229956064983,-3.2500685541413203e-07,-1.3294529614010634e-09,585.5257658564917,12292901.391527934,126198.2598626024,0.11142548761967244,0.0004557902149564621,123360.37018810984,54.47014124946203,201.86105075532404,1.1121372252758788,-2316.8337178462666,0.020417373624616087,3.135418292318289e-05,-3.956843324319405,2516.060359800222
485.74539913445545,487865.9921966003,1030.0474837833722,-0.09443796520234919,0.001685572183054616,-0.000516775368864291,-3.1548197441738886e-07,-1.28683944525892e-09,593.2703505985646,13219549.55031814,132282.79434446213,0.11104009869867858,0.0004529285049479751,129243.09445272302,54.253959955313206,210.04443538317886,1.1116921746494928,-2438.2145460611187,0.020490525955435303,3.1068187178280696e-05,-4.109786615159759,2519.02373367386
485.7453991344555,504911.21762969,1058.5934896222175,-0.09973621420572398,0.0016639859819655557,-0.0005233132927714115,-3.062348791737293e-07,-1.2463124851224428e-09,600.9666011842038,14142318.292415384,138274.02908400737,0.11060005101948082,0.0004501192836448889,135036.42635003795,54.01574149772936,218.06023047818712,1.1112017562986278,-2559.8839384593093,0.020571813428597274,3.0805575112497604e-05,-4.259610989055068,2522.8640276557107
485.74539913445517,521956.4430627807,1086.7773447506647,-0.10487928507517434,0.0016430736944874824,-0.0005293072944063018,-2.972753449738743e-07,-1.207745403646331e-09,608.6154281180469,15060870.250868091,144177.3990545022,0.11011457487100132,0.00044736428339393344,140745.84592179972,53.7598504751266,225.9211475890003,1.110674955585623,-2681.8787213928294,0.02065993386829649,3.056321176428296e-05,-4.406524378926281,2527.436193482317
485.74539913445534,539001.6684958718,1114.610257313197,-0.1098721269736446,0.0016228029374886627,-0.0005348185016049353,-2.886082404582735e-07,-1.1710194083801002e-09,616.2177655085654,15974936.417928476,149997.87210294028,0.10959157204742148,0.0004446645655669383,146376.3257948552,53.48996282215831,233.63856393269936,1.1101193401264768,-2804.2246468117455,0.020753787842727904,3.033845700891782e-05,-4.550703994224207,2532.62201189811
485.7453991344562,556046.8939289631,1142.1029003614692,-0.11471973820029811,0.001603143287426216,-0.0005399000146389622,-2.8023462577172326e-07,-1.1360233109732399e-09,623.7745607914194,16884305.35485098,155739.99541740844,0.10903780839824008,0.00044202065243264215,151932.3866060057,53.20917396522917,241.22268222863391,1.1095412824496989,-2926.9387929077893,0.0208524432868429,3.0129076772998375e-05,-4.692302278557513,2538.3241166230664
485.74539913445574,573092.1193620542,1169.2654441672032,-0.11942710904784423,0.0015840661535680102,-0.0005445980648956881,-2.7215263201919914e-07,-1.1026531867766892e-09,631.2867664949235,17788814.094781727,161407.93734073464,0.10845907834941107,0.0004394326356116372,157418.14605505692,52.92008980063892,248.68267023900242,1.108946147292258,-3050.0314332192593,0.02095510705801692,2.9933172062547888e-05,-4.831451560681157,2544.4615815375355
485.7453991344558,590137.3447951456,1196.1075864255515,-0.12399917808956876,0.0015655446573477644,-0.0005489529940803864,-2.6435816387566745e-07,-1.0708119990585394e-09,638.755333683122,18688340.46913261,167005.52478386,0.1078603452068435,0.00043690026506767966,162837.36215286606,52.624903152144896,256.0267823256926,1.1083384490021246,-3173.5074989312006,0.02106110192350921,2.9749121871475706e-05,-4.968267710004807,2550.966605536914
485.7453991344555,607182.5702282351,1222.6385804576416,-0.12844079918299475,0.0015475535182964057,-0.0005530000827008056,-2.568454595428923e-07,-1.0404092056936385e-09,646.1812067739219,19582796.629976843,172536.27660397303,0.10724586066951153,0.00043442302196688716,168193.47128965153,52.32545800247886,263.2624652746523,1.107721983771163,-3297.367728645573,0.021169847834273822,2.9575536982840975e-05,-5.102853029582485,2557.781983221192
485.7453991344552,624227.7956613264,1248.8672615263404,-0.1327567170038954,0.0015300689467317898,-0.0005567702522161336,-2.496075358660441e-07,-1.0113603613042838e-09,653.565319481837,20472123.577246428,178003.43335314817,0.10661926658391399,0.0004320001782004449,173489.6217435567,52.02330346140424,270.39645047458134,1.1070999407387165,-3421.6095770467136,0.021280846602908767,2.94112223739682e-05,-5.2352985616792695,2564.8591481875073
485.74539913445574,641273.021327865,1274.80207176354,-0.13695154867313458,0.001513068543200881,-0.000560290656951442,-2.426365408672974e-07,-9.835867241068882e-10,660.9085916785436,21356286.37331853,183409.98262587565,0.10598368146304717,0.0004296308449106996,178728.70206658912,51.71973902288387,277.4348324194817,1.1064749951621624,-3546.227921697831,0.0213936693430064,2.9255146522131715e-05,-5.365685915341624,2572.1566408475496
485.74539913445545,658318.2465677945,1300.4510812078313,-0.141029774698327,0.0014965312045362052,-0.0005635852128848899,-2.3592403384051064e-07,-9.570148738265216e-10,668.2119270008228,22235270.982193273,188758.68840408028,0.10534177489952969,0.00042731401194287516,183913.37266134567,51.415853285901484,284.38314815663335,1.1058493881311462,-3671.215711513612,0.02150794584662424,2.9106415801652412e-05,-5.494088870863706,2579.6388917355252
485.74539913445597,675363.4719626536,1325.8220126483723,-0.1449957246596312,0.0014804370362980095,-0.000566674990585119,-2.294612020718973e-07,-9.315763451102385e-10,675.4762110657585,23109079.51708783,194052.1014889018,0.10469582938137144,0.00042504857990251124,189046.07841495055,51.11255508144854,291.24642146465845,1.1052249906484457,-3796.5642918785275,0.0216233563140652,2.8964254162972545e-05,-5.6205743883834955,2587.275254861911
485.7453991344557,692408.6973936941,1350.9222583388043,-0.14885357805759747,0.0014647672713150068,-0.0005695786222351274,-2.2323903493851613e-07,-9.072072788864196e-10,682.7023101780816,23977728.72237277,199292.58821251732,0.10404779507233725,0.0004228333860505369,194129.0786291215,50.81060154263107,298.02923268719593,1.1046033614176682,-3922.2639008772007,0.021739623776956957,2.882798524016762e-05,-5.7452037914652525,2595.039218703661
485.745399134456,709453.9228293498,1375.758899850963,-0.15260735982972895,0.0014495041940012865,-0.0005723126044775385,-2.172484565504743e-07,-8.838480933898227e-10,689.891070435297,24841247.06071388,204482.34351328676,0.10339933534534484,0.00042066722523078124,199164.4613773489,50.51062064009813,304.735759923261,1.1039857932367498,-4048.303919492078,0.021856508180783364,2.8697018085154742e-05,-5.868033509895613,2602.907769229684
485.7453991344553,726499.1482937591,1400.3387253416083,-0.15626094024302503,0.0014346310701091206,-0.0005748915720499272,-2.1148042894547612e-07,-8.614431753915483e-10,697.0433171532652,25699672.697160505,209623.40637513564,0.10275186616022315,0.0004185488666910682,204154.15984745114,50.21313059104545,311.3698212289446,1.1033733529551073,-4174.673116527771,0.021973801274041114,2.857083502307979e-05,-5.989115760520012,2610.860865684407
